id,Cursor,Amp,Width,ErrorRate,aligned(ErrorRate) for Cursor,aligned(ErrorRate) for Amp,aligned(ErrorRate) for Cursor*Amp,aligned(ErrorRate) for Width,aligned(ErrorRate) for Cursor*Width,aligned(ErrorRate) for Amp*Width,aligned(ErrorRate) for Cursor*Amp*Width,ART(ErrorRate) for Cursor,ART(ErrorRate) for Amp,ART(ErrorRate) for Cursor*Amp,ART(ErrorRate) for Width,ART(ErrorRate) for Cursor*Width,ART(ErrorRate) for Amp*Width,ART(ErrorRate) for Cursor*Amp*Width
6,3,2,3,0.15,0.0718216249715033201388888889,0.0920898802999504877976190476,0.0839601303475833197420634920,0.0331519191505784520833333333,0.0918990661558247411706349206,0.0688884949682854035714285714,0.0804618007055396162698412698,805,839,833,707,864,793,825
6,3,3,1,0.2,0.0039847533807617594246031747,0.0464742937850107869047619049,0.0159886446067200992063492063,0.0636000037181068446428571429,-0.0012380121378490775793650793,0.0289382886405083038690476190,0.0075037150615572600198412699,589.5,739.5,636.5,775.5,575.5,691.5,615.5
6,3,3,2,0.2,0.0364728363332410094246031747,0.0789623767374900369047619049,0.0484767275591993492063492063,0.0435147978546916854166666668,0.0496056667054013185515873015,0.0488832278786253586309523809,0.0542645517010427183531746033,718,817,753,738,746,765,767
6,3,3,3,0.1,0.0081415915546278165674603175,0.0506311319588768440476190477,0.0201454827805861563492063491,-0.0305281142662970514880952381,0.0282190327389492375992063492,-0.0012348292126321839285714286,0.0148184205439015001984126984,617,761,650,459,676,576,641
6,4,1,1,0.0500000000000001,-0.0533959328118438596230158729,-0.0856512545311748532738095237,-0.0244185482437361546626984128,0.0087342855009955339285714286,-0.0465811493927509371031746032,-0.0675838194666284479166666667,-0.0450462033027130691468253967,325.5,203.5,463.5,633.5,349.5,252.5,379.5
6,4,1,2,0,-0.0804949303055782631944444444,-0.1127502520249092568452380952,-0.0515175457374705582341269843,-0.0709380008086332788690476190,-0.0708487577544410897817460319,-0.0735866584702829752976190478,-0.0664004621089428870039682538,168,90,328,255,228,217,236
6,4,1,3,0,-0.0791060414166893739087301586,-0.1113613631360203675595238094,-0.0501286568485816689484126985,-0.1152607792621199336309523809,-0.0600345874225656516865079365,-0.0362940166328462553571428571,-0.0660178291581017224206349206,180.5,102.5,346.5,95.5,297.5,391.5,248.5
6,4,2,1,0,-0.1756390405812674953373015872,-0.1528558172773260193452380952,-0.1690761060768109802579365080,-0.1135088222684281017857142857,-0.1688242571621745728174603175,-0.1533872471973699416666666666,-0.1641099783010165908730158730,10.5,18.5,14.5,109.5,21.5,19.5,22.5
6,4,2,2,0.0500000000000001,-0.0710546629705740096230158729,-0.0482714396666325336309523809,-0.0644917284661174945436507937,-0.0614977334736290252976190475,-0.0614084904194368362103174604,-0.0573558843623941369047619048,-0.0558150638414486515873015872,246.5,374.5,259.5,327.5,287.5,302.5,309.5
6,4,2,3,0.1,0.0358245141388661689484126985,0.0586077374428076449404761905,0.0423874486433226840277777777,-0.0003302237065643907738095238,0.0548959681329898911706349206,0.0354063521111425607142857143,0.0445882626938437246031746032,715,787,747,604,758,731,748
6,4,3,1,0.1,-0.1006307477904669560515873015,-0.055626239410723620238095238,-0.1006386568986773579365079366,-0.038500529477627562500000000,-0.0938159643713740335317460318,-0.0731622445552261032738095239,-0.0849771296154948328373015872,100,323,91,435,127,236,148
6,4,3,2,0.0500000000000001,-0.0788904288558754631944444444,-0.0338859204761321273809523809,-0.0788983379640858650793650795,-0.0693334993589304788690476190,-0.0692442563047382897817460319,-0.0639650693349968056547619049,-0.0726920862172823792658730158,190.5,462.5,157.5,265.5,238.5,284.5,172.5
6,4,3,3,0,-0.0782993371560377453373015872,-0.0332948287762944095238095237,-0.0783072462642481472222222223,-0.1144540750014683050595238095,-0.0592278831619140231150793651,-0.0851607899478034375000000000,-0.0646188880052491343253968254,197.5,470.5,175.5,104.5,309.5,158.5,275.5
7,1,1,1,0,-0.0854348536467436838293650793,-0.1548137440884013282738095237,-0.1294131835213399566468253969,-0.0604282040562309410714285714,-0.0815193527510856033730158730,-0.1367463090238549229166666667,-0.1305619125035543016865079364,135,12,54,335,157,40,58
7,1,1,2,0.0500000000000001,0.0018771764284443625992063492,-0.0675017140132132818452380952,-0.0421011534461519102182539684,-0.0256894627969373038690476190,-0.0280093471329833750992063493,-0.0283381204585870002976190478,-0.0152827577206538504960317459,582,237,398,477,457,449,510
7,1,1,3,0.0500000000000001,0.0280572098453199054563492064,-0.0413216805963377389880952380,-0.0159211200292763673611111112,-0.0452210967224373050595238095,-0.0218100636915365715277777778,0.0337456659068363732142857143,0.0145059066486026021825396826,693,416,505,396,477,709,633
7,1,2,1,0.2,-0.0259856353629389588293650793,-0.0403259807813241336309523809,-0.0451530851106306631944444444,-0.0009789857724262160714285714,-0.0220701344672808783730158730,-0.0408574107013680559523809523,-0.0468510176924134817460317461,448,433,378,595,472,380,362
7,1,2,2,0.2,0.0756867002379681018849206350,0.0613463548195829270833333334,0.0565192504902763975198412699,0.0481200610125864354166666668,0.0458001766765403641865079365,0.0522619101238213238095238095,0.0480773103562844265873015873,812,801,780,746,743,770,756
7,1,2,3,0,-0.0447498076985398731150793650,-0.0590901531169250479166666666,-0.0639172574462315774801587301,-0.1180281142662970836309523809,-0.0946170812353963500992063492,-0.0822915384485901321428571428,-0.0721133316900078091269841270,387,287,266,66,119,166,191
7,1,3,1,0.210526315789474,-0.0603917749810971945436507936,-0.0525108353236805095238095237,-0.0730842915614353515873015874,-0.0353851253905844517857142857,-0.0564762740854391140873015873,-0.0700468404681829925595238096,-0.0702376299974381879960317459,302,341,195,441,324,245,201
7,1,3,2,0.0500000000000001,-0.1007765166277254195436507936,-0.0928955769703087345238095237,-0.1134690332080635765873015874,-0.1283431558531070860119047618,-0.1306630401891531572420634921,-0.1229747258291734127976190477,-0.1318454887995696653769841269,97,165,83,45,48,59,52
7,1,3,3,0,-0.0594427901546802374007936508,-0.0515618504972635523809523809,-0.0721353067350183944444444446,-0.1327210967224374479166666667,-0.1093100636915367143849206350,-0.1034278116687725803571428572,-0.0943662591691211323412698412,307.5,349.5,212.5,29.5,91.5,104.5,111.5
7,2,1,1,0,-0.1076775553048957409722222222,-0.1476708869455441997023809523,-0.0965217194342397268849206350,-0.053285346913373812500000000,-0.1131850741010359069444444444,-0.1296034518809977943452380953,-0.0881163821539807850198412698,84,33,102,354,77,50,132
7,2,1,2,0,-0.0742189086883544016865079365,-0.1142122403290028604166666666,-0.0630630728176983875992063493,-0.0723999891127268824404761904,-0.0671113880502241465277777779,-0.0750486467743765788690476192,-0.0692542912624366731150793649,228,74,280,244,251,206,217
7,2,1,3,0,-0.0508498242124587766865079365,-0.0908431558531072354166666666,-0.0396939883418027625992063493,-0.0947425719792068014880952381,-0.0401314458540474429563492063,-0.0157758093499331232142857143,-0.0630572345888900382936507937,340,185,409,181,409,522,297
7,2,2,1,0,-0.1709887131013476695436507936,-0.1559434997187236586309523809,-0.1705227032341924798611111111,-0.1165965047098257410714285714,-0.1764962318974878355158730158,-0.1564749296387675809523809523,-0.1689047812124345722222222223,20,6,11,88,17,13,13
7,2,2,2,0,-0.1206683656641271445436507936,-0.1056231522815031336309523809,-0.1202023557969719548611111111,-0.1188494460884996252976190475,-0.1135608450259968893849206350,-0.1147075969772647369047619048,-0.1203935170550929031746031745,66.5,115.5,68.5,59.5,69.5,76.5,71.5
7,2,2,3,0.0500000000000001,-0.0241353664995489409722222222,-0.0090901531169249300595238095,-0.0236693566323937512896825397,-0.0680281142662969657738095238,-0.0134169881411376072420634920,-0.0322915384485900142857142857,-0.0141757667970948567460317461,472.5,536.5,471.5,289.5,516.5,422.5,530.5
7,2,3,1,0.1,-0.0872465758955881302579365079,-0.0499800774371622595238095237,-0.0865500414329979111111111112,-0.0328543675040662017857142857,-0.0927540946917282962301587301,-0.0675160825816647425595238096,-0.0965733007350147606150793650,129.5,360.5,132.5,445.5,130.5,258.5,96.5
7,2,3,2,0.0500000000000001,-0.1011508218044779302579365079,-0.0638843233460520595238095237,-0.1004542873418877111111111112,-0.0993319022288504110119047618,-0.0940433011663476750992063493,-0.0939634722049167377976190477,-0.0940719076390284772817460316,94,271,94,158,124,143,118
7,2,3,3,0.117647058823529,0.0228965822448606375992063492,0.0601630807032865083333333334,0.0235931167074508567460317459,-0.0209961655218873872023809524,0.0336149606032719713293650794,0.0082971195317774803571428571,0.0374627731192392378968253968,660,798,674,502,700,610,736
7,3,1,1,0,-0.0826374393559820548611111111,-0.1174077290508073568452380952,-0.0787923299201495010912698414,-0.0230221890186369696428571429,-0.0878602048745928918650793651,-0.0993402939862609514880952382,-0.0654212831592171834325396825,157,64,166,488,143,129,259
7,3,1,2,0.0500000000000001,-0.0004005972507188048611111111,-0.0351708869455441068452380952,0.0034445121851137489087301586,0.0066413642707318711309523810,0.0127322331214415042658730157,0.0039927066090821747023809522,-0.0022997487241736965277777776,571.5,453.5,582.5,620.5,629.5,601.5,575.5
7,3,1,3,0,-0.0621069464570681084325396825,-0.0968772361518934104166666666,-0.0582618370212355546626984128,-0.1007766522779929764880952381,-0.0420295052727466874007936508,-0.0218098896487192982142857143,-0.0494364451425071950396825397,294,155,295,139,396,485,354
7,3,2,1,0,-0.1724452923217297620039682539,-0.1521770369932825943452380952,-0.1603067869456497624007936508,-0.1128300419843846767857142857,-0.1776680578403405990079365079,-0.1527084669133265166666666666,-0.1651929041614192408730158731,15.5,23.5,21.5,114.5,12.5,24.5,17.5
7,3,2,2,0.15,0.0154828613958976272817460318,0.0357511167243447949404761905,0.0276213667719776268849206349,0.0225248229173483032738095239,0.0286156917680579364087301586,0.0266666720285831916666666666,0.0275778035394217031746031747,633,685,691,671,682,679,672
7,3,2,3,0,-0.0781783750284966798611111111,-0.0579101197000495122023809524,-0.0660398696524166802579365080,-0.1168480808494215479166666667,-0.0581009338441752588293650794,-0.0811115050317145964285714286,-0.0695381992944603837301587302,205,304,237,82,318,182,208
7,3,3,1,0.1,-0.0960152466192382405753968253,-0.0535257062149892130952380951,-0.0840113553932799007936507937,-0.0363999962818931553571428571,-0.1012380121378490775793650793,-0.0710617113594916961309523810,-0.0924962849384427399801587301,106,335,136,438,102,243,122
7,3,3,2,0.105263157894737,-0.0582640057720219905753968253,-0.0157744653677729630952380951,-0.0462601145460636507936507937,-0.0512220442505713145833333332,-0.0451311753998616814484126985,-0.0458536142266376413690476191,-0.0404722904042202816468253967,313,499,375,367,354,370,396
7,3,3,3,0,-0.0918584084453721834325396825,-0.0493688680411231559523809523,-0.0798545172194138436507936509,-0.1305281142662970514880952381,-0.0717809672610507624007936508,-0.1012348292126321839285714286,-0.0851815794560984998015873016,121,367,145,39,204,117,142
7,4,1,1,0,-0.1033959328118439596230158729,-0.1356512545311749532738095237,-0.0744185482437362546626984128,-0.0412657144990045660714285714,-0.0965811493927510371031746032,-0.1175838194666285479166666667,-0.0950462033027131691468253967,90,47,184,428,110,68,104
7,4,1,2,0,-0.0804949303055782631944444444,-0.1127502520249092568452380952,-0.0515175457374705582341269843,-0.0709380008086332788690476190,-0.0708487577544410897817460319,-0.0735866584702829752976190478,-0.0664004621089428870039682538,168,90,328,255,228,217,236
7,4,1,3,0,-0.0791060414166893739087301586,-0.1113613631360203675595238094,-0.0501286568485816689484126985,-0.1152607792621199336309523809,-0.0600345874225656516865079365,-0.0362940166328462553571428571,-0.0660178291581017224206349206,180.5,102.5,346.5,95.5,297.5,391.5,248.5
7,4,2,1,0.0500000000000001,-0.1256390405812673953373015872,-0.1028558172773259193452380952,-0.1190761060768108802579365080,-0.0635088222684280017857142857,-0.1188242571621744728174603175,-0.1033872471973698416666666666,-0.1141099783010164908730158730,55,129,73,318,63,111,79
7,4,2,2,0.0500000000000001,-0.0710546629705740096230158729,-0.0482714396666325336309523809,-0.0644917284661174945436507937,-0.0614977334736290252976190475,-0.0614084904194368362103174604,-0.0573558843623941369047619048,-0.0558150638414486515873015872,246.5,374.5,259.5,327.5,287.5,302.5,309.5
7,4,2,3,0.0500000000000001,-0.0141754858611337310515873015,0.0086077374428077449404761905,-0.0076125513566772159722222223,-0.0503302237065642907738095238,0.0048959681329899911706349206,-0.0145936478888573392857142857,-0.0054117373061561753968253968,519,617,556,380,587,535,564
7,4,3,1,0.117647058823529,-0.0829836889669379560515873015,-0.037979180587194620238095238,-0.0829915980751483579365079366,-0.020853470654098562500000000,-0.0761689055478450335317460318,-0.0555151857316971032738095239,-0.0673300707919658328373015872,151.5,443.5,139.5,507.5,179.5,311.5,228.5
7,4,3,2,0,-0.1288904288558755631944444444,-0.0838859204761322273809523809,-0.1288983379640859650793650795,-0.1193334993589305788690476190,-0.1192442563047383897817460319,-0.1139650693349969056547619049,-0.1226920862172824792658730158,49,223,60,54,59,82,65
7,4,3,3,0.0500000000000001,-0.0282993371560376453373015872,0.0167051712237056904761904763,-0.0283072462642480472222222223,-0.0644540750014682050595238095,-0.0092278831619139231150793651,-0.0351607899478033375000000000,-0.0146188880052490343253968254,435.5,656.5,450.5,310.5,546.5,401.5,523.5
8,1,1,1,0.1,0.0145651463532563161706349207,-0.0548137440884013282738095237,-0.0294131835213399566468253969,0.0395717959437690589285714286,0.0184806472489143966269841270,-0.0367463090238549229166666667,-0.0305619125035543016865079364,630,332,433,733,647,384,435
8,1,1,2,0.1,0.0518771764284442625992063492,-0.0175017140132133818452380952,0.0078988465538479897817460316,0.0243105372030625961309523810,0.0219906528670165249007936507,0.0216618795414128997023809522,0.0347172422793460495039682541,756.5,490.5,615.5,675.5,654.5,661.5,711.5
8,1,1,3,0.111111111111111,0.0891683209564308054563492064,0.0197894305147731610119047620,0.0451899910818345326388888888,0.0158900143886735949404761905,0.0393010474195743284722222222,0.0948567770179472732142857143,0.0756170177597135021825396826,850.5,664.5,751.5,653.5,721.5,857.5,808.5
8,1,2,1,0.210526315789474,-0.0154593195734649588293650793,-0.0297996649918501336309523809,-0.0346267693211566631944444444,0.0095473300170477839285714286,-0.0115438186778068783730158730,-0.0303310949118940559523809523,-0.0363247019029394817460317461,514.5,480.5,422.5,638.5,525.5,437.5,409.5
8,1,2,2,0.15,0.0256867002379681018849206350,0.0113463548195829270833333334,0.0065192504902763975198412699,-0.0018799389874135645833333332,-0.0041998233234596358134920635,0.0022619101238213238095238095,-0.0019226896437155734126984127,672.5,632.5,606.5,588.5,567.5,592.5,585.5
8,1,2,3,0.25,0.2052501923014601268849206350,0.1909098468830749520833333334,0.1860827425537684225198412699,0.1319718857337029163690476191,0.1553829187646036499007936508,0.1677084615514098678571428572,0.1778866683099921908730158730,975,950,960,906,937,947,956
8,1,3,1,0.352941176470588,0.0820230857000168054563492064,0.0899040253574334904761904763,0.0693305691196786484126984126,0.1070297352905295482142857143,0.0859385865956748859126984127,0.0723680202129310074404761904,0.0721772306836758120039682541,840.5,833.5,798.5,870.5,841.5,808.5,804.5
8,1,3,2,0.3,0.1492234833722744804563492064,0.1571044230296911654761904763,0.1365309667919363234126984126,0.1216568441468928139880952382,0.1193369598108467427579365079,0.1270252741708264872023809523,0.1181545112004302346230158731,933,932,919,888,900,908,895
8,1,3,3,0.1,0.0405572098453197625992063492,0.0484381495027364476190476191,0.0278646932649816055555555554,-0.0327210967224374479166666667,-0.0093100636915367143849206350,-0.0034278116687725803571428572,0.0056337408308788676587301588,729,751,695,450,540,561,609
8,2,1,1,0.25,0.1423224446951042590277777778,0.1023291130544558002976190477,0.1534782805657602731150793650,0.196714653086626187500000000,0.1368149258989640930555555556,0.1203965481190022056547619047,0.1618836178460192149801587302,925,871,936,949,922,893,944
8,2,1,2,0.2,0.1257810913116455983134920635,0.0857877596709971395833333334,0.1369369271823016124007936507,0.1276000108872731175595238096,0.1328886119497758534722222221,0.1249513532256234211309523808,0.1307457087375633268849206351,906.5,821.5,921.5,896.5,914.5,896.5,911.5
8,2,1,3,0.0588235294117647,0.0079737051993059233134920635,-0.0320196264413425354166666666,0.0191295410699619374007936507,-0.0359190425674421014880952381,0.0186920835577172570436507937,0.0430477200618315767857142857,-0.0042337051771253382936507937,612,474,645,440,649,746,569
8,2,2,1,0.166666666666667,-0.0043220464346806695436507936,0.0107231669479433413690476191,-0.0038560365675254798611111111,0.0500701619568412589285714286,-0.0098295652308208355158730158,0.0101917370278994190476190477,-0.0022381145457675722222222223,547,629,563,754,537,615,581
8,2,2,2,0.111111111111111,-0.0095572545530161445436507936,0.0054879588296078663690476191,-0.0090912446858609548611111111,-0.0077383349773886252976190475,-0.0024497339148858893849206350,-0.0035964858661537369047619048,-0.0092824059439819031746031745,532,608,546,570,572,558,552
8,2,2,3,0,-0.0741353664995490409722222222,-0.0590901531169250300595238095,-0.0736693566323938512896825397,-0.1180281142662970657738095238,-0.0634169881411377072420634920,-0.0822915384485901142857142857,-0.0641757667970949567460317461,236.5,294.5,190.5,73.5,272.5,173.5,282.5
8,2,3,1,0.333333333333333,0.1460867574377448697420634921,0.1833532558961707404761904763,0.1467832919003350888888888888,0.2004789658292667982142857143,0.1405792386416047037698412699,0.1658172507516682574404761904,0.1367600325983182393849206350,928.5,946.5,926.5,953.5,928.5,945.5,926.5
8,2,3,2,0.277777777777778,0.1266269559732999697420634921,0.1638934544317258404761904763,0.1273234904358901888888888888,0.1284458755489274889880952382,0.1337344766114302249007936507,0.1338143055728611622023809523,0.1337058701387494227182539684,909.5,940.5,902.5,898.5,918.5,916.5,918.5
8,2,3,3,0.0625,-0.0322504765786683624007936508,0.0050160218797575083333333334,-0.0315539421160781432539682541,-0.0761432243454163872023809524,-0.0215320982202570286706349206,-0.0468499392917515196428571429,-0.0176842857042897621031746032,417,607,429,231,483,355,488
8,3,1,1,0.1,0.0173625606440179451388888889,-0.0174077290508073568452380952,0.0212076700798504989087301586,0.0769778109813630303571428571,0.0121397951254071081349206349,0.0006597060137390485119047618,0.0345787168407828165674603175,640,496,668,802,622,585,706
8,3,1,2,0,-0.0504005972507189048611111111,-0.0851708869455442068452380952,-0.0465554878148863510912698414,-0.0433586357292682288690476190,-0.0372677668785585957341269843,-0.0460072933909179252976190478,-0.0522997487241737965277777776,359,214,360,418,431,363,333
8,3,1,3,0.0555555555555556,-0.0065513909015125084325396825,-0.0413216805963378104166666666,-0.0027062814656799546626984128,-0.0452210967224373764880952381,0.0135260502828089125992063492,0.0337456659068363017857142857,0.0061191104130484049603174603,542.5,411.5,564.5,391.5,635.5,704.5,612.5
8,3,2,1,0,-0.1724452923217297620039682539,-0.1521770369932825943452380952,-0.1603067869456497624007936508,-0.1128300419843846767857142857,-0.1776680578403405990079365079,-0.1527084669133265166666666666,-0.1651929041614192408730158731,15.5,23.5,21.5,114.5,12.5,24.5,17.5
8,3,2,2,0.0500000000000001,-0.0845171386041022727182539682,-0.0642488832756551050595238095,-0.0723786332280222731150793651,-0.0774751770826515967261904761,-0.0713843082319419635912698414,-0.0733333279714167083333333334,-0.0724221964605781968253968253,145,256,202,222,214,229,182
8,3,2,3,0.0500000000000001,-0.0281783750284965798611111111,-0.0079101197000494122023809524,-0.0160398696524165802579365080,-0.0668480808494214479166666667,-0.0081009338441751588293650794,-0.0311115050317144964285714286,-0.0195381992944602837301587302,443,544,498,296,554,431,474
8,3,3,1,0.315789473684211,0.1197742270649727594246031747,0.1622637674692217869047619049,0.1317781182909310992063492063,0.1793894774023178446428571429,0.1145514615463619224206349207,0.1447277623247193038690476190,0.1232931887457682600198412699,897.5,938.5,912.5,940.5,895.5,927.5,903.5
8,3,3,2,0.0500000000000001,-0.1135271636667588905753968253,-0.0710376232625098630952380951,-0.1015232724408005507936507937,-0.1064852021453082145833333332,-0.1003943332945985814484126985,-0.1011167721213745413690476191,-0.0957354482989571816468253967,76,230,88,123,105,123,100
8,3,3,3,0.1,0.0081415915546278165674603175,0.0506311319588768440476190477,0.0201454827805861563492063491,-0.0305281142662970514880952381,0.0282190327389492375992063492,-0.0012348292126321839285714286,0.0148184205439015001984126984,617,761,650,459,676,576,641
8,4,1,1,0.1,-0.0033959328118439596230158729,-0.0356512545311749532738095237,0.0255814517562637453373015872,0.0587342855009954339285714286,0.0034188506072489628968253968,-0.0175838194666285479166666667,0.0049537966972868308531746033,551,447,678,766,582,497,605
8,4,1,2,0,-0.0804949303055782631944444444,-0.1127502520249092568452380952,-0.0515175457374705582341269843,-0.0709380008086332788690476190,-0.0708487577544410897817460319,-0.0735866584702829752976190478,-0.0664004621089428870039682538,168,90,328,255,228,217,236
8,4,1,3,0.15,0.0708939585833106260912698414,0.0386386368639796324404761906,0.0998713431514183310515873015,0.0347392207378800663690476191,0.0899654125774343483134920635,0.1137059833671537446428571429,0.0839821708418982775793650794,795.5,698.5,873.5,715.5,855.5,884.5,836.5
8,4,2,1,0.0500000000000001,-0.1256390405812673953373015872,-0.1028558172773259193452380952,-0.1190761060768108802579365080,-0.0635088222684280017857142857,-0.1188242571621744728174603175,-0.1033872471973698416666666666,-0.1141099783010164908730158730,55,129,73,318,63,111,79
8,4,2,2,0.1,-0.0210546629705741096230158729,0.0017285603333673663690476191,-0.0144917284661175945436507937,-0.0114977334736291252976190475,-0.0114084904194369362103174604,-0.0073558843623942369047619048,-0.0058150638414487515873015872,500.5,594.5,512.5,558.5,529.5,552.5,557.5
8,4,2,3,0.111111111111111,0.0469356252499771689484126985,0.0697188485539186449404761905,0.0534985597544336840277777777,0.0107808874045466092261904762,0.0660070792441008911706349206,0.0465174632222535607142857143,0.0556993738049547246031746032,741.5,813.5,771.5,641.5,785.5,750.5,776.5
8,4,3,1,0.210526315789474,0.0098955679990070439484126985,0.054900076378750379761904762,0.0098876588907966420634920634,0.072025786311846437500000000,0.0167103514180999664682539682,0.0373640712342478967261904761,0.0255491861739791671626984128,622,779,619,790,644,735,669
8,4,3,2,0.1,-0.0288904288558755631944444444,0.0161140795238677726190476191,-0.0288983379640859650793650795,-0.0193334993589305788690476190,-0.0192442563047383897817460319,-0.0139650693349969056547619049,-0.0226920862172824792658730158,429.5,650.5,436.5,513.5,494.5,540.5,449.5
8,4,3,3,0.111111111111111,0.0328117739550732546626984128,0.0778162823348165904761904763,0.0328038648468628527777777777,-0.0033429638903573050595238095,0.0518832279491969768849206349,0.0259503211633075625000000000,0.0464922231058618656746031746,711,816,713,576,747,673,752
9,1,1,1,0.0500000000000001,-0.0354348536467435838293650793,-0.1048137440884012282738095237,-0.0794131835213398566468253969,-0.0104282040562308410714285714,-0.0315193527510855033730158730,-0.0867463090238548229166666667,-0.0805619125035542016865079364,402.5,120.5,151.5,565.5,447.5,153.5,157.5
9,1,1,2,0.0500000000000001,0.0018771764284443625992063492,-0.0675017140132132818452380952,-0.0421011534461519102182539684,-0.0256894627969373038690476190,-0.0280093471329833750992063493,-0.0283381204585870002976190478,-0.0152827577206538504960317459,582,237,398,477,457,449,510
9,1,1,3,0,-0.0219427901546801945436507936,-0.0913216805963378389880952380,-0.0659211200292764673611111112,-0.0952210967224374050595238095,-0.0718100636915366715277777778,-0.0162543340931637267857142857,-0.0354940933513974978174603174,490,173,248,169,193,510,417
9,1,2,1,0.15,-0.0759856353629389588293650793,-0.0903259807813241336309523809,-0.0951530851106306631944444444,-0.0509789857724262160714285714,-0.0720701344672808783730158730,-0.0908574107013680559523809523,-0.0968510176924134817460317461,213.5,192.5,110.5,369.5,184.5,148.5,92.5
9,1,2,2,0.15,0.0256867002379681018849206350,0.0113463548195829270833333334,0.0065192504902763975198412699,-0.0018799389874135645833333332,-0.0041998233234596358134920635,0.0022619101238213238095238095,-0.0019226896437155734126984127,672.5,632.5,606.5,588.5,567.5,592.5,585.5
9,1,2,3,0.1,0.0552501923014601268849206350,0.0409098468830749520833333334,0.0360827425537684225198412699,-0.0180281142662970836309523809,0.0053829187646036499007936508,0.0177084615514098678571428572,0.0278866683099921908730158730,765,703,729,519,592,638,675
9,1,3,1,0.25,-0.0209180907705711945436507936,-0.0130371511131545095238095237,-0.0336106073509093515873015874,0.0040885588199415482142857143,-0.0170025898749131140873015873,-0.0305731562576569925595238096,-0.0307639457869121879960317459,506.5,512.5,427.5,609.5,506.5,435.5,432.5
9,1,3,2,0,-0.1507765166277255195436507936,-0.1428955769703088345238095237,-0.1634690332080636765873015874,-0.1783431558531071860119047618,-0.1806630401891532572420634921,-0.1729747258291735127976190477,-0.1818454887995697653769841269,29.5,37.5,17.5,3.5,8.5,6.5,9.5
9,1,3,3,0.0555555555555556,-0.0038872345991246374007936508,0.0039937050582920476190476191,-0.0165797511794627944444444446,-0.0771655411668818479166666667,-0.0537545081359811143849206350,-0.0478722561132169803571428572,-0.0388107036135655323412698412,548.5,604.5,493.5,229.5,333.5,344.5,398.5
9,2,1,1,0.0500000000000001,-0.0576775553048956409722222222,-0.0976708869455440997023809523,-0.0465217194342396268849206350,-0.003285346913373712500000000,-0.0631850741010358069444444444,-0.0796034518809976943452380953,-0.0381163821539806850198412698,317.5,140.5,370.5,580.5,280.5,191.5,404.5
9,2,1,2,0,-0.0742189086883544016865079365,-0.1142122403290028604166666666,-0.0630630728176983875992063493,-0.0723999891127268824404761904,-0.0671113880502241465277777779,-0.0750486467743765788690476192,-0.0692542912624366731150793649,228,74,280,244,251,206,217
9,2,1,3,0.0500000000000001,-0.0008498242124586766865079365,-0.0408431558531071354166666666,0.0103060116581973374007936507,-0.0447425719792067014880952381,0.0098685541459526570436507937,0.0342241906500669767857142857,-0.0130572345888899382936507937,558,426,625,406,611,718,540
9,2,2,1,0.2,0.0290112868986523304563492064,0.0440565002812763413690476191,0.0294772967658075201388888889,0.0834034952901742589285714286,0.0235037681025121644841269842,0.0435250703612324190476190477,0.0310952187875654277777777777,702.5,726.5,699.5,822.5,661.5,747.5,693.5
9,2,2,2,0.15,0.0293316343358728554563492064,0.0443768477184968663690476191,0.0297976442030280451388888889,0.0311505539115003747023809525,0.0364391549740031106150793650,0.0352924030227352630952380952,0.0296064829449070968253968255,707,731,703,699,703,726,679
9,2,2,3,0.0500000000000001,-0.0241353664995489409722222222,-0.0090901531169249300595238095,-0.0236693566323937512896825397,-0.0680281142662969657738095238,-0.0134169881411376072420634920,-0.0322915384485900142857142857,-0.0141757667970948567460317461,472.5,536.5,471.5,289.5,516.5,422.5,530.5
9,2,3,1,0,-0.1872465758955881302579365079,-0.1499800774371622595238095237,-0.1865500414329979111111111112,-0.1328543675040662017857142857,-0.1927540946917282962301587301,-0.1675160825816647425595238096,-0.1965733007350147606150793650,6,28,6,23,6,10,5
9,2,3,2,0.1,-0.0511508218044780302579365079,-0.0138843233460521595238095237,-0.0504542873418878111111111112,-0.0493319022288505110119047618,-0.0440433011663477750992063493,-0.0439634722049168377976190477,-0.0440719076390285772817460316,332.5,509.5,338.5,385.5,378.5,373.5,388.5
9,2,3,3,0.0500000000000001,-0.0447504765786682624007936508,-0.0074839781202423916666666666,-0.0440539421160780432539682541,-0.0886432243454162872023809524,-0.0340320982202569286706349206,-0.0593499392917514196428571429,-0.0301842857042896621031746032,380.5,550.5,382.5,192.5,442.5,296.5,439.5
9,3,1,1,0,-0.0826374393559820548611111111,-0.1174077290508073568452380952,-0.0787923299201495010912698414,-0.0230221890186369696428571429,-0.0878602048745928918650793651,-0.0993402939862609514880952382,-0.0654212831592171834325396825,157,64,166,488,143,129,259
9,3,1,2,0.1,0.0495994027492810951388888889,0.0148291130544557931547619048,0.0534445121851136489087301586,0.0566413642707317711309523810,0.0627322331214414042658730157,0.0539927066090820747023809522,0.0477002512758262034722222224,751.5,645.5,768.5,763.5,779.5,772.5,753.5
9,3,1,3,0,-0.0621069464570681084325396825,-0.0968772361518934104166666666,-0.0582618370212355546626984128,-0.1007766522779929764880952381,-0.0420295052727466874007936508,-0.0218098896487192982142857143,-0.0494364451425071950396825397,294,155,295,139,396,485,354
