id,Cursor,Amp,Width,ErrorRate,aligned(ErrorRate) for Cursor,aligned(ErrorRate) for Amp,aligned(ErrorRate) for Cursor*Amp,aligned(ErrorRate) for Width,aligned(ErrorRate) for Cursor*Width,aligned(ErrorRate) for Amp*Width,aligned(ErrorRate) for Cursor*Amp*Width,ART(ErrorRate) for Cursor,ART(ErrorRate) for Amp,ART(ErrorRate) for Cursor*Amp,ART(ErrorRate) for Width,ART(ErrorRate) for Cursor*Width,ART(ErrorRate) for Amp*Width,ART(ErrorRate) for Cursor*Amp*Width
1,2,1,2,0.0500000000000001,-0.0242189086883543016865079365,-0.0642122403290027604166666666,-0.0130630728176982875992063493,-0.0223999891127267824404761904,-0.0171113880502240465277777779,-0.0250486467743764788690476192,-0.0192542912624365731150793649,465.5,265.5,532.5,496.5,501.5,459.5,481.5
1,2,1,3,0.0500000000000001,-0.0008498242124586766865079365,-0.0408431558531071354166666666,0.0103060116581973374007936507,-0.0447425719792067014880952381,0.0098685541459526570436507937,0.0342241906500669767857142857,-0.0130572345888899382936507937,558,426,625,406,611,718,540
1,2,2,1,0.1,-0.0709887131013476695436507936,-0.0559434997187236586309523809,-0.0705227032341924798611111111,-0.0165965047098257410714285714,-0.0764962318974878355158730158,-0.0564749296387675809523809523,-0.0689047812124345722222222223,252,317,220,538,176,308,224
1,2,2,2,0.0500000000000001,-0.0706683656641270445436507936,-0.0556231522815030336309523809,-0.0702023557969718548611111111,-0.0688494460884995252976190475,-0.0635608450259967893849206350,-0.0647075969772646369047619048,-0.0703935170550928031746031745,258.5,327.5,225.5,272.5,265.5,266.5,197.5
1,2,2,3,0,-0.0741353664995490409722222222,-0.0590901531169250300595238095,-0.0736693566323938512896825397,-0.1180281142662970657738095238,-0.0634169881411377072420634920,-0.0822915384485901142857142857,-0.0641757667970949567460317461,236.5,294.5,190.5,73.5,272.5,173.5,282.5
1,2,3,1,0.0526315789473685,-0.1346149969482196302579365079,-0.0973484984897937595238095237,-0.1339184624856294111111111112,-0.0802227885566977017857142857,-0.1401225157443597962301587301,-0.1148845036342962425595238096,-0.1439417217876462606150793650,43.5,145.5,46.5,210.5,44.5,72.5,38.5
1,2,3,2,0.0500000000000001,-0.1011508218044779302579365079,-0.0638843233460520595238095237,-0.1004542873418877111111111112,-0.0993319022288504110119047618,-0.0940433011663476750992063493,-0.0939634722049167377976190477,-0.0940719076390284772817460316,94,271,94,158,124,143,118
1,2,3,3,0,-0.0947504765786683624007936508,-0.0574839781202424916666666666,-0.0940539421160781432539682541,-0.1386432243454163872023809524,-0.0840320982202570286706349206,-0.1093499392917515196428571429,-0.0801842857042897621031746032,113.5,311.5,116.5,16.5,150.5,89.5,162.5
1,3,1,1,0,-0.0826374393559820548611111111,-0.1174077290508073568452380952,-0.0787923299201495010912698414,-0.0230221890186369696428571429,-0.0878602048745928918650793651,-0.0993402939862609514880952382,-0.0654212831592171834325396825,157,64,166,488,143,129,259
1,3,1,2,0,-0.0504005972507189048611111111,-0.0851708869455442068452380952,-0.0465554878148863510912698414,-0.0433586357292682288690476190,-0.0372677668785585957341269843,-0.0460072933909179252976190478,-0.0522997487241737965277777776,359,214,360,418,431,363,333
